name,total available,price,image url,description,category
Iron Box,100,40499.2,https://placehold.co/600x400,High-performance iron box for your needs.,Electronics
Fan,50,2429.19,https://placehold.co/600x400,Powerful fan for a cool breeze on hot days.,Electronics
Water Bottle,75,809.19,https://placehold.co/600x400,Durable water bottle for on-the-go hydration.,Kitchen
Dustbin,90,1214.19,https://placehold.co/600x400,Sturdy dustbin for effective waste management.,Home & Living
Bucket,60,1619.19,https://placehold.co/600x400,Multi-purpose bucket for various household tasks.,Kitchen
Toaster,45,3239.19,https://placehold.co/600x400,Toasts bread to perfection for your breakfast.,Electronics
Alarm Clock,80,1214.19,https://placehold.co/600x400,Reliable alarm clock to wake you up on time.,Electronics
Desk Lamp,70,2024.19,https://placehold.co/600x400,Adjustable desk lamp for bright illumination.,Electronics
Blender,110,4859.19,https://placehold.co/600x400,Powerful blender for smoothies and shakes.,Electronics
Coffee Maker,55,7289.19,https://placehold.co/600x400,Prepare delicious coffee with ease.,Electronics
Camera,65,24239.2,https://placehold.co/600x400,Capture memorable moments with this camera.,Electronics
Headphones,85,4049.19,https://placehold.co/600x400,High-quality headphones for immersive audio experience.,Electronics
Backpack,95,3239.19,https://placehold.co/600x400,Durable backpack for carrying your essentials.,Fashion
Sneakers,70,2829.19,https://placehold.co/600x400,Comfortable sneakers for casual outings.,Fashion
Handbag,75,2429.19,https://placehold.co/600x400,Stylish handbag to complement your attire.,Fashion
Watch,50,6479.19,https://placehold.co/600x400,Elegant watch to enhance your wrist.,Fashion
Sunglasses,85,1619.19,https://placehold.co/600x400,Trendy sunglasses for a fashionable look.,Fashion
Umbrella,40,1214.19,https://placehold.co/600x400,Compact umbrella for rainy days.,Home & Living
Plant,60,2429.19,https://placehold.co/600x400,Lively plant to brighten up your home.,Home & Living
Cookware Set,65,5659.19,https://placehold.co/600x400,Complete cookware set for your kitchen needs.,Kitchen
Television,30,40599.2,https://placehold.co/600x400,High-definition television for immersive viewing experience.,Electronics
Refrigerator,25,30399.2,https://placehold.co/600x400,Spacious refrigerator to keep your food fresh and cool.,Electronics
Washing Machine,35,24239.2,https://placehold.co/600x400,Energy-efficient washing machine for easy laundry days.,Electronics
Sofa,40,4859.19,https://placehold.co/600x400,Comfortable sofa to relax and unwind after a long day.,Home & Living
Dining Table,20,7289.19,https://placehold.co/600x400,Elegant dining table for delightful family meals.,Home & Living
Bed,15,8089.19,https://placehold.co/600x400,Stylish and cozy bed for a restful night's sleep.,Home & Living
Laptop,18,48599.2,https://placehold.co/600x400,Powerful laptop for work,Electronics
Printer,22,8099.19,https://placehold.co/600x400,High-quality printer for professional and personal use.,Electronics
Smartphone,50,24239.2,https://placehold.co/600x400,Feature-packed smartphone for seamless communication.,Electronics
Tablet,45,12141.2,https://placehold.co/600x400,Portable tablet for reading,Electronics
Desk Chair,35,8089.19,https://placehold.co/600x400,Ergonomic desk chair for comfortable work sessions.,Home & Living
Wall Clock,55,2024.19,https://placehold.co/600x400,Stylish wall clock to adorn your home's walls.,Home & Living
Jacket,60,4859.19,https://placehold.co/600x400,Warm and trendy jacket for chilly weather.,Fashion
Jeans,75,4049.19,https://placehold.co/600x400,Classic jeans for a timeless casual look.,Fashion
Dress,40,6479.19,https://placehold.co/600x400,Elegant dress for special occasions and events.,Fashion
Shoes,65,1619.19,https://placehold.co/600x400,Stylish shoes for a fashionable and comfortable walk.,Fashion
Suitcase,28,8089.19,https://placehold.co/600x400,Durable suitcase for hassle-free travel and storage.,Travel
Backpack,33,8089.19,https://placehold.co/600x400,Spacious backpack for travel and outdoor adventures.,Travel
Tent,15,4859.19,https://placehold.co/600x400,Durable tent for camping and outdoor activities.,Outdoor
Bicycle,10,20241.2,https://placehold.co/600x400,High-performance bicycle for fitness and leisure rides.,Outdoor
